item_id	i_category	r_complement	r_substitute
1	28	[5346, 3620, 6155, 8392, 4510, 5467, 6494, 9544, 5004, 7698, 4896, 7402, 10232, 5465, 6529, 5558, 9088, 5870, 5570, 6981, 6517, 3183, 2423, 6309, 6969, 8070, 7948]	[]
2	1	[7546, 6483, 6314, 5610, 10016, 6301, 5618, 5731, 5733, 4856, 6305, 7491, 6263, 8037, 5730, 7926, 7366, 6720, 6363, 5478, 4854, 6311, 5619, 4442, 7706, 7705, 5341, 6038, 6608, 6479, 7367, 8509, 5729, 6059, 6480, 5948, 7543, 6478, 4853, 4858, 5950, 6291, 6037, 8655, 7925, 7785, 6477, 6502, 6526, 5452, 6307, 7710, 7708, 10309, 7707, 7703, 2078, 4865, 9472, 6364, 4833, 6482, 6202]	[]
3	0	[1879, 8893, 4495, 4223, 3399, 2253, 1662, 7023, 3206, 1786, 1409, 9137, 8919, 5089, 2355, 3381, 10548, 7983, 2912, 1408, 1393, 2473, 2803, 2503, 1486, 3340, 6631, 8360, 1700, 2653, 5505, 7476, 7022, 8, 3347, 2013, 3474, 2626, 8123, 6597, 2494, 1395, 388, 4336, 4922, 2154]	[]
4	1	[9753, 8893, 4541, 6594, 6649, 6782, 4167, 7400, 6277, 4768, 8482, 8486, 4688, 4168, 5628, 7049, 7902, 7427, 7956, 8468, 5508, 5190, 7657, 9827, 6575, 3856, 8113, 7676, 5312, 8987, 5310, 8219, 9473, 8483, 8723, 8484, 4583, 5330, 8017, 7859, 5998, 6984]	[]
5	28	[7762, 3807, 7071, 8672, 4899, 6962, 7573, 10113, 7020, 8528, 8590, 7493, 6617, 4883, 10082, 8940, 5543, 4893, 9291, 9544, 6374, 5954, 5008, 3171, 4381, 1273, 2953, 8279, 10232, 5465, 6184, 8671, 6217, 9140, 7749, 1, 7325, 5870, 3980, 3914, 7357, 5824, 8670, 6580, 9402, 6174, 9246, 6877, 5449, 7210, 8373, 4284, 8899, 3981, 5777, 7072, 5459, 6867, 5093, 2224, 8070, 7674, 7536, 8587]	[]
6	28	[5870, 3980, 8973, 5008, 2224, 3981, 2454, 3971, 9140, 5123, 5010, 1127, 3951, 3876, 2176]	[]
7	1	[8141, 8157, 10112, 7364, 9907, 8660, 3519, 8038, 8870, 9278, 7221, 4518, 8914, 9192, 4731, 9334, 9410, 7881, 7450, 9380, 9227, 7112, 6493, 9403, 8036, 6765, 9066, 7555, 7914, 9306, 9455, 7363, 9910, 7971, 9332, 4706, 5917, 8891]	[]
8	1	[3467, 3804, 2804, 1786, 1904, 1628, 7526, 3300, 3170, 2254, 2343, 1826, 7022, 1162, 3347, 1790, 8123, 3273, 3345, 2339, 1392, 3737, 4378, 3529, 1396, 1762, 3464, 1393, 3856, 2803, 1871, 2208, 1725, 1882, 2551, 2037, 4495, 9786, 2253, 3206, 1409, 2805, 3381, 3201, 2723, 1408, 2131, 1902, 2849, 2650, 5625, 2456, 2252, 6631, 3687, 2381, 2244, 2494, 1395, 1720, 3324, 7023, 1662, 1407, 3399, 2327, 2355, 4944, 2471, 1634, 2829, 1406, 2173, 1486, 1804, 3365, 5505, 2013, 3197, 2227, 4922]	[]
9	0	[2332, 1720, 3804, 6745, 2578, 4495, 9786, 2804, 7023, 3399, 3206, 1786, 1662, 6322, 2201, 6371, 5089, 1396, 1904, 1495, 2472, 4944, 10548, 7151, 7983, 2471, 7526, 1408, 3464, 1393, 3856, 1902, 4301, 2473, 1406, 2803, 2503, 200, 5625, 2278, 2254, 2456, 1871, 2252, 1478, 2343, 6631, 1804, 1826, 5392, 3365, 2208, 1413, 10497, 5505, 7022, 1162, 8, 9526, 1938, 9017, 2013, 3474, 2626, 8123, 2850, 1394, 4922, 2339, 10105, 2227, 2551]	[]
10	39	[68, 52, 77, 115, 477, 827, 47, 433, 335, 1119, 203, 649, 340, 4223, 87, 86, 5112, 336, 350, 1188, 552, 7772, 334, 43, 893, 338, 117, 239, 109, 765, 4058, 673, 238, 347, 824, 337, 116, 45, 4567, 342, 479, 34, 1012, 1226, 828, 69, 329, 236, 273, 75, 674, 1938, 354, 40, 331, 101, 94, 1067, 179, 598, 235, 39, 641, 53, 601, 36, 73]	[]
11	45	[678, 841, 460, 652, 461, 3953, 2772, 251, 787, 2863, 1003, 1626, 676, 3220, 1893, 1222, 2918, 371, 458, 13, 201, 102, 947, 418, 3479, 951, 1293, 8021, 1170, 2754, 1371, 907, 952, 2228, 459, 3946, 1397, 2718, 1897, 6342, 1227, 3944, 3639, 202, 4673, 226, 4229, 370, 3669, 2740, 1468, 97, 1966, 587, 4292, 2593, 582, 10126, 3931, 585, 2127, 2711, 1924, 125, 1562, 577, 3221, 298, 579, 1751, 2136, 1469, 768, 959, 3572, 177, 656, 372, 74, 686, 468, 481, 3014]	[]
15	45	[71, 8021, 4229, 383, 1736, 952, 389, 1014, 2318]	[]
19	45	[8021, 2925, 1324, 3886, 4538, 37, 121, 3577, 102, 7203, 444, 299, 4940, 1227, 8823, 980, 959, 1229, 6739, 2739, 1914, 3972, 483, 7969]	[]
13	0	[2918, 490, 8021, 371, 2534, 118, 540, 952, 2719, 979, 6284, 4951, 1968, 3624, 7439, 577, 374, 785, 679, 459, 4644, 363, 2718, 54, 438, 2261, 360, 1227, 100, 980, 1075, 362, 3969, 3340, 359, 676, 656, 951, 1131, 3626, 331, 4229, 1299, 4840]	[]
17	45	[64, 213, 3500, 457, 5582, 1326, 121, 38, 22, 251, 2080, 55, 59, 787, 1769, 225, 1222, 113, 243, 1342, 1083, 483, 2918, 95, 112, 102, 58, 54, 2751, 843, 20, 23, 851, 65, 4018, 3764, 35, 108, 8736, 8021, 192, 484, 952, 18, 6284, 37, 792, 2730, 842, 299, 60, 360, 3822, 1227, 485, 2853, 3205, 202, 229, 949, 92, 4229, 456, 4008, 582, 1256, 2127, 44, 3768, 114, 785, 298, 361, 1652, 486, 6948, 959, 177, 178, 62, 21, 66, 9111, 4581, 256, 2438]	[]
12	45	[2918, 650, 8021, 1139, 2534, 118, 3768, 2882, 1729, 18, 1297, 2730, 577, 684, 59, 2751, 4542, 547, 1408, 3307, 1889, 1721, 3340, 78, 6890, 819, 683, 92, 4018, 14, 3254, 988, 5277, 1388, 2886, 767, 243, 5788]	[]
